time,open,high,low,close,volume,normalize,rescale,n_rsi,n_cci,n_wt,n_adx,my_trSmooth,regime_filter,filter_adx,filter_volatility,rational_quadratic,currentWeight,gaussian
2023-06-13T23:45:00Z,25869.57,25937.66,25869.57,25934.25,217.84896,0.652954956940007,288.0472222222222,0.4904741119963084,0.5427120313822128,0.777894998142239,0.21911558896548705,431.44928194857187,1,0,1,25861.80856390347,354482.3645320281,25861.911979029243
2023-06-14T00:00:00Z,25934.24,25965.29,25927.22,25957.1,338.30687,0.6545382232356973,288.3011111111111,0.5184319020639433,0.6141111831232966,0.790220035523279,0.2517068441821943,426.3743537537144,1,0,0,25869.40494688779,354586.48655410245,25867.265452725213
2023-06-14T00:15:00Z,25957.1,25979.69,25911.6,25944.55,263.69619,0.6536686393402525,288.16166666666663,0.5373010134265378,0.6468866357843758,0.7128740366870542,0.26998307366406793,451.82691837834307,1,0,1,25876.04828923786,354677.545448875,25872.065583515163
2023-06-14T00:30:00Z,25944.56,26030,25944.56,26010.18,273.90332,0.6582161127313318,288.89088888888887,0.5648427263894575,0.6911790620740116,0.6850537045555934,0.29796156284151476,492.0942265405095,1,1,1,25887.29970830336,354831.76628091093,25880.437745473424
2023-06-14T00:45:00Z,26010.18,26010.18,25969.03,25989.72,251.74541,0.6567984484683199,288.66355555555555,0.5809264819820017,0.7068875842721684,0.6131879685543283,0.32314220310121683,484.03480388646,1,1,0,25895.450155655573,354943.4827466124,25886.150807800186
2023-06-14T01:00:00Z,25989.72,25993.79,25958.45,25972.36,150.04902,0.6555955818209157,288.47066666666666,0.5885939649853178,0.7055475125390851,0.5368136227055562,0.33801399047555736,470.9713234978141,0,1,0,25902.335021321567,355037.85215062124,25891.439010261798
2023-06-14T01:15:00Z,25972.37,26018.05,25968.27,25972.88,161.30447,0.655631612388695,288.47644444444444,0.595412716816124,0.7005036341963847,0.4788767078518864,0.35739494837257785,473.65419114803154,0,1,1,25909.146766779344,355131.2193113322,25897.146291938618
2023-06-14T01:30:00Z,25972.88,25981.09,25957.95,25976.11,120.01608,0.6558554176462478,288.51233333333334,0.6021218380010029,0.6941496866365983,0.4620390016427498,0.3670360815865751,449.4287720332278,0,1,0,25915.406307007503,355217.017511233,25902.591035445494
2023-06-14T01:45:00Z,25976.11,26052.5,25976.11,26046.27,326.27,0.6607167727143283,289.2918888888889,0.6205662952701008,0.7405307884529033,0.5424476886471222,0.3910825363359773,480.87589482990444,1,1,1,25926.25375987218,355365.70126361324,25911.665148907796
2023-06-14T02:00:00Z,26046.27,26055.99,26013.6,26039.72,379.89533,0.6602629261394148,289.21911111111115,0.6339991836126256,0.7641686050494518,0.5511644108836329,0.4133150742658534,475.17830534691706,1,1,0,25936.310881963214,355503.5521184909,25920.502499359536
2023-06-14T02:15:00Z,26039.72,26039.73,26016.8,26028.57,131.13735,0.6594903476187606,289.0952222222222,0.6410399333427776,0.7631640069213516,0.5153994919707325,0.43332435840274186,450.59047481222564,1,1,0,25944.845664437657,355620.5365847873,25928.394268096687
2023-06-14T02:30:00Z,26028.58,26044.23,26015.96,26020.13,97.87263,0.6589055437878798,289.0014444444445,0.6435988412986249,0.7477951265986106,0.46008773979278744,0.45223724197301385,433.80142733100354,0,1,0,25951.99610742707,355718.54620124836,25935.416213548284
2023-06-14T02:45:00Z,26020.12,26032.63,26019.09,26027.4,79.15235,0.6594092788412571,289.08222222222224,0.6474632159358845,0.7369904572756161,0.44649098089293876,0.4692588371862586,403.96128459790407,0,1,0,25959.637640289016,355823.2870831886,25943.25637472698
2023-06-14T03:00:00Z,26027.4,26031.68,25974.51,25990.01,220.87386,0.6568185424388121,288.6667777777778,0.635667776903861,0.6840941425307132,0.37674449866923704,0.4484798591739842,420.73515613811554,0,1,1,25963.991605996518,355882.9659743718,25948.822477434114
2023-06-14T03:15:00Z,25990.02,25997.22,25979.73,25989.17,170.45754,0.6567603392139376,288.6574444444444,0.6250375060667577,0.6369221752139027,0.34330290464582,0.4297787789629372,396.1516405243056,0,1,0,25967.712647927034,355933.9695126121,25953.994443087115
2023-06-14T03:30:00Z,25989.17,25993.42,25964.46,25981.01,152.44269,0.656194936458015,288.56677777777776,0.6125659441636429,0.58391754527264,0.3185130039831732,0.4020996833956208,385.4964764718742,0,1,0,25970.46234494416,355971.6590306506,25958.518627281144
2023-06-14T03:45:00Z,25981.01,25988.89,25969.21,25985.07,133.64819,0.656476252044908,288.61188888888887,0.6031267865000797,0.5395715480923989,0.34055420868202146,0.37718849738503607,366.62682882468704,0,1,0,25973.053066548364,356007.169506178,25962.85963605371
2023-06-14T04:00:00Z,25985.06,26000.65,25972.28,25987.98,198.76056,0.6566778846453657,288.6442222222222,0.5959896421596609,0.5015463170826486,0.371922500596826,0.3611704713008875,358.33414594222097,0,1,0,25975.58651419887,356041.89493968163,25967.094038096533
2023-06-14T04:15:00Z,25987.98,25998.85,25985.62,25996.35,139.23428,0.6572578382075069,288.7372222222222,0.5930560442094037,0.48443341888404506,0.43002026517652747,0.34675424782515374,335.7307313479984,0,1,0,25978.51497219478,356082.03469681647,25971.510475924253
2023-06-14T04:30:00Z,25996.36,26005.36,25983.38,25983.38,134.36,0.6563591526996251,288.5931111111111,0.5839553019688227,0.452179691510859,0.40509596335782166,0.3376255744300421,324.13765821319816,0,1,0,25980.28660426598,356106.31808458216,25974.9202988273
2023-06-14T04:45:00Z,25983.39,25987.59,25967.16,25981.01,108.75095,0.656194936458015,288.56677777777776,0.5748086238198892,0.4211239019596926,0.3810048220619755,0.31438158374901515,312.1538923918786,0,1,0,25981.808969188176,356127.1848200221,25978.01889952121
2023-06-14T05:00:00Z,25981,25984.83,25970.96,25984.49,90.14021,0.6564360641039234,288.60544444444446,0.5685686772035523,0.40488844352634074,0.39157962328234,0.2934619921360908,294.8085031526934,0,1,0,25983.715824584946,356153.3216854388,25981.330600175403
2023-06-14T05:15:00Z,25984.49,25984.49,25962,25963.6,121.12357,0.6549886053329397,288.37333333333333,0.5525251078045589,0.2983034319626859,0.32194295593660605,0.2662931711398273,287.81765283742567,0,1,0,25983.820834825576,356154.7610386962,25983.025538956535
2023-06-14T05:30:00Z,25963.6,25963.6,25880.26,25888.27,379.18981,0.6497690232736681,287.53633333333335,0.5168841470735758,0.18168332584087987,0.16126127778081573,0.2817738763638023,342.37588755368324,1,1,1,25978.18103174358,356077.45744536625,25980.196469530638
2023-06-14T05:45:00Z,25888.28,25900,25837.13,25845.14,356.59966,0.6467805648345816,287.0571111111111,0.4790187890606218,0.12225061494536453,0.1283877708148113,0.3074364104574797,371.0082987983139,1,1,1,25969.001805375086,355951.639722308,25974.344261607588
2023-06-14T06:00:00Z,25845.14,25882.57,25840,25879.55,166.29041,0.6491648183678291,287.43944444444446,0.4606730124932393,0.11959298072697806,0.25948242950525596,0.3305326911417894,376.4774689184822,1,1,1,25962.532210050536,355862.96234143013,25970.239760650584
2023-06-14T06:15:00Z,25879.55,25889.68,25878.2,25885.37,115.14226,0.6495680835687445,287.5041111111111,0.44691615621067465,0.13095541007310826,0.395216414250642,0.34522656887721487,350.30972202663355,0,1,0,25956.785820363708,355784.1977879506,25966.357857620304
2023-06-14T06:30:00Z,25885.38,25925.13,25880.5,25900.36,135.0625,0.6506067339745389,287.67066666666665,0.4408018047181689,0.15471072013819714,0.49084391303607694,0.331867037406673,359.9087498239712,0,1,1,25951.770684049512,355715.4563704773,25962.35537781635
2023-06-14T06:45:00Z,25900.37,25900.37,25880.95,25894.54,175.11119,0.6502034687736236,287.606,0.43393351692094917,0.17643534720317983,0.5144756765354882,0.3198434590831853,343.33787484157233,0,1,0,25946.498575448146,355643.1926879717,25957.771247080855
2023-06-14T07:00:00Z,25894.53,25923.84,25889.3,25911.85,175.53679,0.6514028709433565,287.7983333333333,0.43495654789930205,0.2116493074447608,0.557657965004249,0.29348780858575957,343.54408735741595,0,1,1,25943.05779116415,355596.0305822813,25954.36063966355
2023-06-14T07:15:00Z,25911.85,25911.85,25874.28,25876.14,307.1917,0.6489285409906604,287.40155555555555,0.4262607109667401,0.2163322852646915,0.4947826052002791,0.27765247076212474,346.7596786216741,0,1,1,25936.695996307368,355508.8307997167,25948.26139196448
2023-06-14T07:30:00Z,25876.15,25888.3,25873.39,25874.06,190.47447,0.6487844187195431,287.3784444444445,0.41814455675943096,0.22102127101692823,0.46487515737472646,0.2638738088205749,326.99371075950654,0,1,0,25930.825550005946,355428.3658283422,25942.502709570694
